id,Subject#,aut_originality,ukwac,subtitle,baroni,glove,tasa,lse,dat,dsimean,text,age,gender,rt,aut_flexibility_1,aut_flexibilit_2,aut_flexibility,aut_originality_1,aut_originality_2,aut_originality,aut_fluency_1,aut_fluency_2,aut_fluency,bag_appropriateness_1,bag_appropriateness_2,bag_appropriateness,understood,strategy,valids,Word1,Word2,Word3,Word4,Word5,Word6,Word7,Word8,Word9,Word10
R_1KrLH7y3QylI6wP,11,0.6,0.8636365351,0.8922160226,0.9131401967,0.9547658534,0.9801772727,0.917,85.7683738051,0.9207871761,table saxophone potato corgi mirror blanket stiletto toy bidet road,21,Female,70.021,3,3.4,3.2,0.4,0.8,0.6,7.2,7.2,7.2,5.36842105263158,3.65789473684211,5.36842105263158,TRUE,TRUE,10,table,saxophone,potato,corgi,mirror,blanket,stiletto,toy,bidet,road
R_1Nk0VcyE5sKROaM,12,2.5,0.9017714408,0.9252153412,0.9204594632,0.9323936132,0.9818278779,0.913,86.1735137845,0.9323335472,bowl paper parachute jetski wire chemist censorship death weight flour,18,Female,202.342,4.2,5,4.6,2,3,2.5,1.8,1.8,8.8,5.05,3.35,5.05,TRUE,TRUE,9,bowl,paper,parachute,jetski,wire,chemist,censorship,death,weight,flour
R_1gkLnpfcMWPE0LF,13,1,0.916730889,0.9228055399,0.9236302274,0.967863699,0.9696151811,0.872,85.4263563729,0.9401291073,vegan university blanket fireplace coffin newspaper zoology brain olympics gingerbread,20,Female,239.208,2.4,3,2.7,1,1,1,6.5,6.5,6.5,5.07692307692308,2.64102564102564,5.07692307692308,TRUE,TRUE,9,vegan,university,blanket,fireplace,coffin,newspaper,zoology,brain,olympics,gingerbread
R_2dLVrWGEGGXiltd,14,0.8,0.8799118213,0.9157515102,0.9150696616,0.9372747285,0.9990976996,0.936,82.4419495561,0.9294210842,balloon shoe magic jazz tissue water slapstick central fork retainer,18,Male,240.047,2.8,2.2,2.5,1.2,0.4,0.8,1,1,3.6,5.32432432432432,3.10810810810811,5.32432432432432,TRUE,TRUE,10,balloon,shoe,magic,jazz,tissue,water,slapstick,central,fork,retainer
R_yTIzVMxaSZPaJot,15,0.6,0.8514643288,0.9352257452,0.9132213952,0.8424788364,0.9944106351,0.845,75.7516507059,0.9073601881,food clothes view light fur box seeds knife alcohol  instrument,20,Female,232.05,3,3.2,3.1,0.2,1,0.6,1.6,1.6,7.8,4.375,2.65,4.375,TRUE,FALSE,10,food,clothes,view,light,fur,box,seeds,knife,alcohol ,instrument
R_2zHAm26Kca3Qlx4,16,2.4,0.8453774321,0.92035596,0.8994592156,0.8798207109,1.0109011519,0.819,76.2645755495,0.9111828941,hat desk moon brick lemon rabbit paint gas needle tissue,18,Female,121.089,4.2,5.2,4.7,2,2.8,2.4,7.4,7.4,7.4,5.875,3.9,5.875,TRUE,TRUE,10,hat,desk,moon,brick,lemon,rabbit,paint,gas,needle,tissue
R_3QQzIzFRO4GTp6I,17,1.6,0.917318651,0.9154205052,0.9315424078,0.9906085272,1.0131208721,0.979,91.7938655664,0.9536021926,watermelon philosophy aglet molecule family harlequin rebuttal cement impostor knuckle,20,Female,180.981,4.8,5.4,5.1,1.2,2,1.6,6.6,6.6,6.6,5.25,3.75,5.25,TRUE,TRUE,9,watermelon,philosophy,aglet,molecule,family,harlequin,rebuttal,cement,impostor,knuckle
R_2Pw01qdfnXeD9FB,18,2.1,0.8594444288,0.9029592488,0.8796290849,0.8904875676,1.0014503017,0.923,79.3886569816,0.9067941264,CAT BOOK MUG NAIL BAG MOTORBIKE TRAMPOLINE HEADPHONES CANDLE COMPUTER,28,Male,202.59,5.4,6.8,6.1,2.2,2,2.1,1,1,8.4,5.3,3.175,5.3,FALSE,FALSE,10,CAT,BOOK,MUG,NAIL,BAG,MOTORBIKE,TRAMPOLINE,HEADPHONES,CANDLE,COMPUTER
R_3R8dR8ZbHUdXYNc,19,0.8,0.7765907816,0.875239946,0.8541236953,0.8586613426,0.9327806684,0.782,73.8933958468,0.8594792868,bag cube phone pillow sugar rubberband cream shorts cake perfume,22,Female,50.075,2,2.2,2.1,1,0.6,0.8,1,1,2.8,5.175,2.825,5.175,TRUE,TRUE,9,bag,cube,phone,pillow,sugar,rubberband,cream,shorts,cake,perfume
R_3CUAdWbrs28hvBS,20,1.5,0.8738422058,0.9174620538,0.8943052427,0.9277979267,0.9920866576,0.868,83.6314086935,0.9210988173,Psychology Log Notebook Tea Painting Headphones Pillow Luggage Lava Coconut,19,Female,39.191,4.4,5.6,5,1.8,1.2,1.5,1.4,1.4,8.4,5.43589743589744,3.43589743589744,5.43589743589744,TRUE,TRUE,10,Psychology,Log,Notebook,Tea,Painting,Headphones,Pillow,Luggage,Lava,Coconut
R_1CC14aeBb0d3hOR,21,0.1,0.8205431305,0.9393031632,0.9134638048,0.8106573379,0.9884465122,0.848,75.2333195437,0.8944827897,space glasses paper animal hat humans table fire cold dead,19,Male,214.198,1.4,1.6,1.5,0,0.2,0.1,1,1,6.25,5.47368421052632,3.05263157894737,5.47368421052632,TRUE,FALSE,10,space,glasses,paper,animal,hat,humans,table,fire,cold,dead
R_1g2vEWoJxyfHmbN,22,2.5,0.8850107305,0.868086161,0.8953471024,0.9754658654,0.9989905116,0.964,89.0091165545,0.9245800742,Wine Rose Bicycle Stalagmite Toenail Sourdough Kohl Aluminium Hypnosis Caffeine,21,Female,112.824,4.8,6.4,5.6,2,3,2.5,11.6,11.6,12,5.225,3.275,5.225,FALSE,TRUE,10,Wine,Rose,Bicycle,Stalagmite,Toenail,Sourdough,Kohl,Aluminium,Hypnosis,Caffeine
R_zfiHFJV6dSrWpHP,23,0.5,0.79063663,0.890203572,0.8663822315,0.7553709426,0.9899828196,0.828,70.7760451805,0.8585152391,stone space human water air star tree animal earth fire,20,Female,65.09,3.2,2.6,2.9,0.8,0.2,0.5,6,6,6,5.4,3.55,5.4,FALSE,TRUE,10,stone,space,human,water,air,star,tree,animal,earth,fire
R_3nCXqa30LLEgBd4,24,0.6,0.9189041866,0.8859891204,0.93217873,0.9631395539,0.9959745222,0.948,85.2784796884,0.9392372226,laptop frog galaxy dictionary salt letterbox banana toenail valley hexagon,19,Female,212.594,2.2,1.8,2,0.6,0.6,0.6,5.8,5.8,5.8,5.82051282051282,4.02564102564103,5.82051282051282,TRUE,FALSE,10,laptop,frog,galaxy,dictionary,salt,letterbox,banana,toenail,valley,hexagon
R_1CpFDdiF4aTd1if,25,0.2,0.8332772913,0.9064073831,0.8953982354,0.8016544996,0.9738304422,0.848,72.132268548,0.8821135703,apple bin table air paper hand tree metal lamp rubber,18,Female,46.288,1.6,1.8,1.7,0.4,0,0.2,3.4,3.4,3.6,5.17647058823529,2.91176470588235,5.17647058823529,FALSE,TRUE,10,apple,bin,table,air,paper,hand,tree,metal,lamp,rubber
R_2f7KOyntLJ6C8PH,26,0.7,0.8413263272,0.913582742,0.9075165523,0.9492472316,0.983203747,0.909,83.6573437998,0.91897532,icecube camel parliament bulldozer plug honey thought fence lampshade tree,18,Female,139.279,5.2,6.2,5.7,0.6,0.8,0.7,10.2,10.2,10.2,5.575,4.025,5.575,TRUE,FALSE,9,icecube,camel,parliament,bulldozer,plug,honey,thought,fence,lampshade,tree
R_yX8PewyQZLjUCRz,27,0.2,0.8528218,0.9248736914,0.9108393547,0.8930902266,1.0026128978,0.881,79.4751613623,0.9168475941,Phone Pizza Mountain Dog Train Book Treadmil Jumper Guitar Sunscreen,19,Female,199.764,1.2,1.4,1.3,0.4,0,0.2,2.6,2.6,2.6,5.575,3.7,5.575,TRUE,TRUE,9,Phone,Pizza,Mountain,Dog,Train,Book,Treadmil,Jumper,Guitar,Sunscreen
R_1jNjr4UK3atqwVi,28,0.5,0.8922327227,0.9333787505,0.91038903,0.9293401402,0.9992864943,0.901,81.2626883831,0.9329254275,Computer Desert Fountain King Stalker Painting Plastic Road Triton Platypus,30,Male,240.152,2.8,3.6,3.2,0.2,0.8,0.5,6.6,6.6,6.6,6.17948717948718,4.05128205128205,6.17948717948718,TRUE,FALSE,10,Computer,Desert,Fountain,King,Stalker,Painting,Plastic,Road,Triton,Platypus
R_3fJpUbsHgW04DGh,29,0.3,0.7999745657,0.8553098171,0.8408581329,0.7376037675,0.9636575383,0.816,64.4677057153,0.8394807643,ideas things thoughts problems dreams goods shops books reasons tools,18,Female,67.474,1,1.2,1.1,0,0.6,0.3,2.2,2.2,2.2,4.56410256410256,2.58974358974359,4.56410256410256,TRUE,FALSE,10,ideas,things,thoughts,problems,dreams,goods,shops,books,reasons,tools
R_1oBecgNrwp9YQQu,30,0.8,0.814248599,0.8885484351,0.8766165542,0.8395564838,0.9537472881,0.779,74.2638386431,0.874543472,BOTTLE LAPTOP PAPER FORK RUBBER WALLET MIRROR FINGER CURTAIN PIANO,19,Female,62.006,2.6,3.2,2.9,1.4,0.2,0.8,7,7,7,4.775,3.025,4.775,FALSE,TRUE,10,BOTTLE,LAPTOP,PAPER,FORK,RUBBER,WALLET,MIRROR,FINGER,CURTAIN,PIANO
R_3FPXVipCmdpNoLd,31,0.3,0.8389722658,0.9134397132,0.8812603032,0.9217229801,0.9983303783,0.888,76.3905791654,0.9107451281,dog poop planet apple lips eclipse  mug superman laptop paino ,19,Female,55.041,2.4,3.2,2.8,0.2,0.4,0.3,5.2,5.2,5.2,4.525,2.8,4.525,TRUE,TRUE,9,dog,poop,planet,apple,lips,eclipse ,mug,superman,laptop,paino 
R_2CZk7afe94EGSuu,32,0.8,0.8635954842,0.876951686,0.872104567,0.9484766566,0.9810839029,0.837,82.4779570103,0.9084424593,sadness broom toe nail soil shallow nectarine  shard  moist narwhal  communism ,20,Female,85.611,3.8,5,4.4,0.8,0.8,0.8,1,1,10,5.89473684210526,3.81578947368421,5.89473684210526,TRUE,FALSE,10,sadness,broom,toe nail,soil,shallow,nectarine ,shard ,moist,narwhal ,communism 
R_1dtnZJDjL2GcG4W,33,0.5,0.8549797999,0.9439683336,0.9293153353,0.8730879612,1.0016682215,0.886,78.7354488813,0.9206039303,shoe sun  chair  bird  class  party  online  pen  cloud  beach ,19,Female,102.201,2.2,3,2.6,0.6,0.4,0.5,1,1,4.2,4.22857142857143,2.08571428571429,4.22857142857143,TRUE,FALSE,10,shoe,sun ,chair ,bird ,class ,party ,online ,pen ,cloud ,beach 
R_tDmoYL1i01lK8PD,34,0,0.8501044364,0.8934210083,0.891936638,0.8675043274,0.9800454628,0.879,83.8302287717,0.8966023746,biscuit car biology laptop tablet book chairs pen bottle water,19,Female,49.832,1.4,1.4,1.4,0,0,0,2,2,2,5.5,3.29411764705882,5.5,FALSE,FALSE,10,biscuit,car,biology,laptop,tablet,book,chairs,pen,bottle,water
R_eJdcUSeRWxSC3SN,35,0,0.8618701212,0.8743849766,0.9034329343,0.8710094682,0.9970971353,0.895,79.4461855221,0.9015589271,Table Skates Keyboard Needle Water Ball Lotion Titanium Guitar Lab,19,Female,110.566,1.6,2.6,2.1,0,0,0,4,4,4,5.25,3.6,5.25,TRUE,FALSE,10,Table,Skates,Keyboard,Needle,Water,Ball,Lotion,Titanium,Guitar,Lab
R_3QFpUT3OifgxTjB,36,0.1,0.8431166325,0.9242175979,0.9185323168,0.880203822,1.0054564742,0.774,77.3929719059,0.9143053687,Table  Doctor  Fence Laptop Scarf Cow  Sleep  Shoe  Journal  Eyes,18,Female,38.715,1.4,1.6,1.5,0,0.2,0.1,5.4,5.4,5.4,4.7,2.425,4.7,TRUE,TRUE,10,Table ,Doctor ,Fence,Laptop,Scarf,Cow ,Sleep ,Shoe ,Journal ,Eyes
R_1jEbs43YurPKyIi,37,0.5,0.8634628737,0.921030881,0.929829975,0.9236980493,0.9998464902,0.907,83.7155803861,0.9275736538,Cat Pizza Phone Duvet Hinges Blades Water Theory Demand Dark,19,Male,92.186,2.8,3.8,3.3,0.2,0.8,0.5,4.6,4.6,5,4.64102564102564,2.61538461538462,4.64102564102564,TRUE,FALSE,10,Cat,Pizza,Phone,Duvet,Hinges,Blades,Water,Theory,Demand,Dark
R_9vNfEYmmEmPXVwB,38,0.2,0.8893759109,0.9153170783,0.9261612039,0.891903743,0.9889942928,0.824,81.8367836199,0.9223504458,Shoes Pet Equipment Hip hop Cup Dinosaur  Jewellery  Depression Development Word,18,Female,112.654,2,2,2,0,0.4,0.2,1,1,2.8,4.45945945945946,2.27027027027027,4.45945945945946,TRUE,FALSE,9,Shoes,Pet,Equipment,Hip hop,Cup,Dinosaur ,Jewellery ,Depression,Development,Word
R_W6WJXdYE6bk1FGV,39,0.8,0.8464138566,0.9124212783,0.8855395623,0.8177148211,0.9778600305,0.889,84.2300421181,0.8879899097,book television shoe mobile phone baskeball body builder hometown mother Christmas holiday,18,Male,89.777,1.6,1.6,1.6,0.6,1,0.8,1,1,2.4,5.025,3.025,5.025,TRUE,FALSE,7,book,television,shoe,mobile phone,baskeball,body builder,hometown,mother,Christmas,holiday
R_291f1fe4TC8J4zt,40,0.8,0.8411577111,0.869823263,0.8857521311,0.8542138306,0.9777079912,0.781,75.9087122267,0.8857309854,shoes books detention bags pencils pens boards music player woods laptop,18,Male,76.742,2.8,4,3.4,0.8,0.8,0.8,6.8,6.8,6.8,4.66666666666667,2.77777777777778,4.66666666666667,FALSE,FALSE,9,shoes,books,detention,bags,pencils,pens,boards,music player,woods,laptop
R_21vqKr07VVUcgH2,41,2.2,0.9464002703,0.8398958315,0.9287398459,0.966093033,1.0048863513,0.968,93.0530111727,0.9372030664,Pedantry Armadillo Responsibility Furniture Tether Electron Lifeboat Obfuscation Greenness Seasoning,18,Male,240.125,6.6,6.6,6.6,2.8,1.6,2.2,1,1,10.4,5.05128205128205,3.12820512820513,5.05128205128205,TRUE,FALSE,10,Pedantry,Armadillo,Responsibility,Furniture,Tether,Electron,Lifeboat,Obfuscation,Greenness,Seasoning
R_2rqkwTUF0E8SejO,42,0.1,0.7376354679,0.7805082255,0.8126887029,0.7363373194,0.888204733,0.79,58.8511947365,0.7910748898,cat dog apple pear orange  kiwi banana pink yellow green,20,Female,31.252,1.2,1.2,1.2,0,0.2,0.1,1,1,1.6,5.15384615384615,3.15384615384615,5.15384615384615,FALSE,TRUE,10,cat,dog,apple,pear,orange ,kiwi,banana,pink,yellow,green
R_tLHdWgKEjBrVHUt,43,0.5,0.7696504979,0.912194277,0.8933965437,0.8125810257,0.9844121143,0.82,72.9937532828,0.8744468917,cat toy food shirt plane house pencil glasses picture movie,18,Female,40.249,2.6,3.2,2.9,0.4,0.6,0.5,3.6,3.6,3.6,6.06451612903226,4.2258064516129,6.06451612903226,TRUE,TRUE,10,cat,toy,food,shirt,plane,house,pencil,glasses,picture,movie
R_3PMg1R8EzgXmKUq,44,0.5,0.8560049935,0.9273596277,0.9168576687,0.8728574258,0.9957282196,0.848,79.2346715572,0.9137615871,apple pen container electricity  steel  number  clothes  door lipstick  visa ,19,Female,NA,2.4,2,2.2,0.8,0.2,0.5,1.2,1.2,1.6,5.66666666666667,3.83333333333333,5.66666666666667,TRUE,TRUE,10,apple,pen,container,electricity ,steel ,number ,clothes ,door,lipstick ,visa 
R_3nqJQTCtUVeuxrn,45,0.2,0.8678061672,0.921640996,0.8832698637,0.8050767333,0.9923503339,0.844,72.7764140637,0.8940288188,music art science commerce building sky grass computer hotel novel,19,Female,44.443,3,2.6,2.8,0,0.4,0.2,4.2,4.2,4.6,4.5,2.85,4.5,FALSE,FALSE,10,music,art,science,commerce,building,sky,grass,computer,hotel,novel
R_4Zrk1LO70CeD7Zn,46,0,0.8896086199,0.9600852115,0.9315740056,0.9388507916,0.9937509613,0.925,82.4334417425,0.942773918,chair head alley deadline puppet powerpoint carbon church flower prison,18,Female,76.105,1.4,1,1.2,0,0,0,2.4,2.4,2.4,4.875,3.425,4.875,TRUE,FALSE,9,chair,head,alley,deadline,puppet,powerpoint,carbon,church,flower,prison
R_29n1PT9ai92BbUe,47,0,0.8424085947,0.9189666603,0.9037119008,0.8662825692,0.9826292062,0.898,83.6041221096,0.9027997862,paper food family earphones pins friends album music sunset camera,18,Female,102.792,2.2,2,2.1,0,0,0,1.2,1.2,2.6,5.53846153846154,3.74358974358974,5.53846153846154,TRUE,FALSE,10,paper,food,family,earphones,pins,friends,album,music,sunset,camera
R_viaSaxBxkdQhma5,48,0.8,0.8139596182,0.9132547321,0.8970617919,0.8740058328,0.9815690356,0.802,75.6899423897,0.8959702021,cup bed book shoe spring spoon moon plane motherhood glass,18,Female,58.101,2.4,2.4,2.4,0.6,1,0.8,5.2,5.2,5.2,4.75,2.86111111111111,4.75,TRUE,FALSE,10,cup,bed,book,shoe,spring,spoon,moon,plane,motherhood,glass
R_yJ9uEZEOsJpZT69,49,0.3,0.7987431455,0.8818437263,0.8747283772,0.8680791891,0.9697067257,0.868,76.4340213012,0.8786202328,Pillow Cat Car Flame Bread Toothbrush Brick Wall Sweater Stairs,20,Female,72.532,2,2,2,0,0.6,0.3,3.8,3.8,3.8,5.35897435897436,3.53846153846154,5.35897435897436,TRUE,FALSE,10,Pillow,Cat,Car,Flame,Bread,Toothbrush,Brick,Wall,Sweater,Stairs
R_b8CJfDZQpYzPKyl,50,0.8,0.8748861065,0.9095712161,0.9050233609,0.8972609549,0.9946319188,0.855,82.1531449068,0.9162747114,bottle photograph ring airplane eyeball hotel bacteria comet lava mango,21,Female,115.348,4,5,4.5,0.8,0.8,0.8,1.4,1.4,7.6,5.63157894736842,3.57894736842105,5.63157894736842,TRUE,FALSE,10,bottle,photograph,ring,airplane,eyeball,hotel,bacteria,comet,lava,mango
R_1F9tvmTHLJq2mqt,51,0,0.8245379676,0.9402137912,0.9124136237,0.8367500287,0.9945856155,0.884,73.531487726,0.9017002053,milk toy women country money room plastic bone ash star,19,Female,94.568,0,0.2,0.1,0,0,0,9.2,9.2,9.2,4.76923076923077,2.76923076923077,4.76923076923077,TRUE,TRUE,10,milk,toy,women,country,money,room,plastic,bone,ash,star
R_3n1bJ3fDjYR7smY,52,1,0.8329595813,0.9129530621,0.9077162907,0.8522356667,0.9851227088,0.86,75.6224715994,0.8981974619,Sky Fish Rice Name Wall Plate Gun Weather Mountain  Cloth,19,Female,NA,3.6,3.4,3.5,1.6,0.4,1,1,1,2.4,4.05263157894737,2.05263157894737,4.05263157894737,TRUE,FALSE,10,Sky,Fish,Rice,Name,Wall,Plate,Gun,Weather,Mountain ,Cloth
R_1nUeV7DyYS38BCy,53,0.3,0.8161195777,0.9205658509,0.901272681,0.7987152635,0.9996699289,0.828,73.1805462213,0.8872686604,water shoe sky computer bag hair ring light car farm,20,Female,198.704,2,2.6,2.3,0.2,0.4,0.3,3.6,3.6,3.6,5.26315789473684,3.36842105263158,5.26315789473684,TRUE,FALSE,10,water,shoe,sky,computer,bag,hair,ring,light,car,farm
R_2WwM2eMbGsjT3Dw,54,0.9,0.8203897964,0.8232302495,0.8342234542,0.781248043,0.9867091004,0.87,71.6538578272,0.8491601287,trees materials animals buildings vegetables cars planets books tools inventions,19,Female,154.023,2.2,2,2.1,0.8,1,0.9,1,1,3,4.13157894736842,2.36842105263158,4.13157894736842,TRUE,TRUE,10,trees,materials,animals,buildings,vegetables,cars,planets,books,tools,inventions
R_1OqMPsEWhkYnW5Q,55,0.1,0.8223193915,0.926708062,0.8967362767,0.8567327132,0.9818370915,0.856,77.0078312783,0.896866707,pen road bottle computer country poster gun lipstick knife plane,19,Female,110.559,2.2,1.8,2,0,0.2,0.1,3,3,3.6,5.7037037037037,3.03703703703704,5.7037037037037,TRUE,FALSE,10,pen,road,bottle,computer,country,poster,gun,lipstick,knife,plane
R_3HCCfZk84swdvM7,56,0.7,0.8024270913,0.8937748814,0.8989876833,0.8799323485,0.9884375214,0.839,72.866862693,0.8927119052,chair school earphone cat dog sleep food hamburger korea music,19,Female,42.701,3.2,2.8,3,0.6,0.8,0.7,3.8,3.8,3.8,5,3,5,FALSE,TRUE,9,chair,school,earphone,cat,dog,sleep,food,hamburger,korea,music
R_1LebZ1Hi3nl8tlj,57,0,0.8485107633,0.9414854186,0.9162897738,0.8465383029,0.9890393179,0.912,74.7043035924,0.9083727153,High heels  Light Computer  Pen Air School Criminal Children Piano Policemen ,18,Female,78.301,0.8,0.6,0.7,0,0,0,1.2,1.2,1.2,7,7,7,TRUE,TRUE,9,High heels ,Light,Computer ,Pen,Air,School,Criminal,Children,Piano,Policemen 
R_2dhfT7nYCvvUelS,58,0,0.8683198739,0.9335134294,0.9140822423,0.9179541385,0.9890320236,0.888,79.8847689249,0.9245803415,bank fruit foot bag chopsticks book hanger fireworks star computer,19,Female,59.909,1.6,1,1.3,0,0,0,3,3,3,4.88571428571429,2.31428571428571,4.88571428571429,TRUE,FALSE,10,bank,fruit,foot,bag,chopsticks,book,hanger,fireworks,star,computer
R_30jlHwfRrIkzt88,59,0.4,0.879764062,0.9061397181,0.9201281804,0.8524389839,0.9812755432,0.869,81.4727046616,0.9079492975,subject number words clothes adjective felling size sports playing height,18,Female,127.202,1.6,1.4,1.5,0.4,0.4,0.4,4,4,4,4.48717948717949,2.61538461538462,4.48717948717949,TRUE,FALSE,10,subject,number,words,clothes,adjective,felling,size,sports,playing,height
R_Wjpcfpb5tORgYBH,60,0,0.8515799416,0.8968011171,0.889747613,0.8849846196,0.977238921,0.837,76.6446827778,0.9000704425,Cat Dishwasher Sock Wood Jeans Leaf String Toothpaste Fire Nail,18,Female,68.243,1,1.8,1.4,0,0,0,1.4,1.4,2.6,4.975,3.075,4.975,TRUE,TRUE,10,Cat,Dishwasher,Sock,Wood,Jeans,Leaf,String,Toothpaste,Fire,Nail
R_2wuac7DOR7Jco7U,61,0,0.8465221833,0.9228943348,0.9193472248,0.8670279791,1.005327134,0.766,71.271640559,0.9122237712,shirt cat apple desk wall sky flower book chromosome confidence,19,Female,124.703,1.8,1.8,1.8,0,0,0,2.4,2.4,2.4,4.97368421052632,3.18421052631579,4.97368421052632,TRUE,TRUE,10,shirt,cat,apple,desk,wall,sky,flower,book,chromosome,confidence
R_VOwZbs3BakIwyvn,62,0.7,0.8111043375,0.9199914169,0.8988472762,0.8227192511,0.9881124455,0.875,72.2201189115,0.8881549454,shoes food eyes tree light space knowledge bed kiss sponge,19,Female,182.167,3,2.4,2.7,0.8,0.6,0.7,4.6,4.6,4.6,4.21052631578947,2.21052631578947,4.21052631578947,TRUE,TRUE,10,shoes,food,eyes,tree,light,space,knowledge,bed,kiss,sponge
R_U9LfgDfj4OFFz1f,63,0,0.8806793616,0.9559113589,0.9241838854,0.908295216,0.9994777172,0.921,81.3091480661,0.9337095078,Foot Glue Cat Virus Mountain War Violet Democracy Football Gravity,18,Male,115.915,2.6,3,2.8,0,0,0,1.6,1.6,4.6,5.675,4.05,5.675,TRUE,TRUE,10,Foot,Glue,Cat,Virus,Mountain,War,Violet,Democracy,Football,Gravity
